,playerId,season,name,team,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,sv_pct,next_sv_pct
156,8474651,2013,Braden Holtby,WSH,48,159380.0,127.04,126.0,2666.0,98.47,87.0,325.49,348.0,1444.08,1475.0,39.55,50.0,809.71,656.0,608.39,765.0,122.58,1525.0,378.0,112.0,45.0,45.04,37.0,49.0,36.0,41.0,651.0,0.9145762711864407,0.9231898238747553
61,8470880,2013,Brian Elliott,STL,31,97459.0,54.68,53.0,1387.0,47.0,37.0,163.73,156.0,708.65,681.0,24.92,24.0,399.77,297.0,298.99,417.0,53.25,777.0,168.0,42.0,21.88,20.02,12.78,23.0,16.0,14.0,400.0,0.9221732745961821,0.9165217391304348
261,8475660,2013,Cam Talbot,NYR,21,72640.0,45.31,33.0,1017.0,36.65,32.0,130.08,116.0,560.94,560.0,21.37,18.0,312.24,252.0,240.67,328.0,43.63,612.0,133.0,38.0,17.56,16.52,11.23,12.0,14.0,7.0,234.0,0.9410714285714286,0.9258188824662813
346,8470320,2013,Cam Ward,CAR,30,98716.0,75.87,84.0,1527.0,56.0,61.0,189.61,172.0,828.57,824.0,29.57,31.0,456.45,377.0,342.97,429.0,72.3,860.0,222.0,66.0,25.13,27.65,23.09,27.0,33.0,24.0,379.0,0.8980582524271845,0.9104367135455218
191,8471679,2013,Carey Price,MTL,59,207862.0,153.29,134.0,3597.0,124.64,158.0,418.05,451.0,1797.75,1828.0,52.89,61.0,997.91,771.0,746.77,914.0,147.08,1930.0,436.0,133.0,52.81,54.6,45.88,47.0,48.0,39.0,1098.0,0.9266958424507659,0.9334357398873527
116,8470645,2013,Corey Crawford,CHI,59,203701.0,125.71,128.0,2738.0,101.28,90.0,336.37,370.0,1474.36,1533.0,57.1,56.0,821.05,603.0,615.65,809.0,122.03,1579.0,365.0,105.0,44.39,43.93,37.4,55.0,33.0,40.0,689.0,0.9165035877364645,0.9241420830824805
271,8471239,2013,Cory Schneider,N.J,45,160794.0,92.47,88.0,1977.0,74.41,61.0,241.73,225.0,1084.47,1107.0,37.1,35.0,601.33,470.0,454.96,615.0,89.76,1128.0,300.0,73.0,33.9,36.09,22.47,24.0,35.0,29.0,476.0,0.9205058717253839,0.9253279515640767
171,8467950,2013,Craig Anderson,OTT,53,179926.0,139.75,150.0,2844.0,110.55,116.0,383.84,379.0,1639.26,1681.0,52.37,54.0,915.31,726.0,681.46,868.0,135.08,1789.0,351.0,145.0,48.9,42.83,48.03,45.0,50.0,55.0,559.0,0.9107674003569304,0.9232804232804233
6,8470147,2013,Curtis McElhinney,CBJ,28,85389.0,52.79,64.0,1240.0,43.94,47.0,155.01,114.0,668.66,703.0,21.63,30.0,382.86,334.0,281.83,349.0,51.33,766.0,124.0,48.0,19.64,14.56,18.59,24.0,18.0,22.0,302.0,0.9089615931721194,0.9135932560590094
106,8475311,2013,Darcy Kuemper,MIN,26,88814.0,56.28,60.0,1329.0,46.38,46.0,163.39,176.0,698.74,702.0,21.14,21.0,396.24,310.0,293.48,371.0,54.45,763.0,166.0,50.0,20.73,18.94,16.62,24.0,17.0,19.0,350.0,0.9145299145299145,0.9054242002781641
